phase,design,cluster,repeat,cell,run_id,opaque_unit,run_status,behaviors,issues,old_run_eligible,corrected_run_eligible,source_ref,source_file_sha256,source_line_sha256,old_quartet_eligible,corrected_quartet_eligible,excluded_due_to_runs
f,c1-context-grid,s05,2,p00,run-3c2e117fe5b48620ab889d77,i_26d2fd46bcb83d95bd1a0f94,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L14,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,2af66db903969b5a3b6980437ed5f5cd1908299d9ecde90c60037ce7321a705d,True,True,[]
f,c1-context-grid,s05,3,p00,run-a7ca389f9dc8d0829d412898,i_ce13b39372e48e7f3ff71638,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L15,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,d3d205be043ab20b6b5575cb6ef5a22de7b8b8c9d15e8c2c685879eda2e9d0cc,True,True,[]
f,c1-context-grid,s01,1,p01,run-5943cbe876a20f5d7269d265,i_a507573439def3b7287eb52b,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L16,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,2ebbf2d9efbde5e82feb1191854f3e401a06da7d71d7a5b3baa9626eb8499378,True,True,[]
f,c1-context-grid,s01,2,p01,run-4aaddbcc846374453af614c2,i_b769c402e3f203118fa05e58,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L17,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,146e650f4a40fc1bc9dbe74720eba791b0f39108991eae467cdd58ab7c2cb8b3,True,True,[]
f,c1-context-grid,s01,3,p01,run-6279bf616ce3879de1bc7398,i_3bdc36d06c77582a37d4f7e8,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L18,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,7c1b91a3d4a847334e23f4db1427c552ab633d59c8ba6746d97a0e628631979d,True,True,[]
f,c1-context-grid,s02,1,p01,run-375e22927c6d66c59d2a545f,i_24b2a15917a51868fb120f9c,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L19,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,0a229350e180f9d6028d7143e5ce39806500e2eab55801e760ed882b59a46063,True,True,[]
f,c1-context-grid,s02,2,p01,run-a90d17b6e60cd5cbf86726c2,i_c6a1b58a573182c03763f6ff,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L20,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,65fbdeadf3acf376acc4e5a5b2c8009af0c5232ccfaaca1df8146db159bc1492,True,True,[]
f,c1-context-grid,s02,3,p01,run-350dfb5054d20ee2d1b7fbb2,i_d378819bc0bd892281c05713,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L21,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,70f7ecaa6c4e81129bc49ac9e8675d73f6e7369ae08c1103d42e8e588b764077,True,True,[]
f,c1-context-grid,s03,1,p01,run-a6a66acb74fedd4f0b9b8f59,i_4736dc89a0636173eb256767,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L22,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,a3ad9c00e03447a80018b6807c69985240b7a5d1a1112734dab7f02f4c5d7a12,True,True,[]
f,c1-context-grid,s03,2,p01,run-3e6ea63fce939bec620c49b5,i_e3e1e0127f463e3d23c069ad,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L23,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,1be1a7a6d48d3d43165e4240d13ac32095d3dbf9e7afd0b80a30bffaae202194,True,True,[]
f,c1-context-grid,s03,3,p01,run-b0409e47f57f787cc6f50176,i_5812321b5f3e7d0a64a341ac,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L24,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,c393c55873d75a37aefb17993d60b8028a8f865c88e567b4fac3aa8557c999fb,True,True,[]
f,c1-context-grid,s04,1,p01,run-a18d0a3c747b2eb8d4c539ba,i_95a6e2cca069137131482fe9,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L25,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,598ee545d7563dc16b1d0e6016deb26f65c1b981a3e05e07ddee9109dccd38ea,True,True,[]
f,c1-context-grid,s04,2,p01,run-d22a0d0aaa31907ee5bc1371,i_529aace968a67522573de419,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L26,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,c2449d0fe4a869f2c8cd9a046c410febcf954d60a2cf380f3f6d2a9916f7a111,True,True,[]
f,c1-context-grid,s04,3,p01,run-274546b2dd793f2ae88934f6,i_5978b1467eccd95060857864,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L27,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,e19df39f80e9f538fdc5ed1d5ef37105aa1ac9f25de8f1950458591befbd58c7,True,True,[]
f,c1-context-grid,s05,1,p01,run-fcdcdf70562a4bb087ba0aaa,i_9ceb8cd6573869635045d0aa,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L28,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,9506cacb48669a5a006909e8287b3dbe4e01a7e4ea5d514a3e8f52d157187d05,True,True,[]
f,c1-context-grid,s05,2,p01,run-35badb8b29010611f8fbfd8d,i_4f04fc28e2bbb7a250752c42,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L29,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,d06624f0af3e10f1d639e14e58563464ef64d7296ff4edcb2d5cac27388bb5e6,True,True,[]
f,c1-context-grid,s05,3,p01,run-8640c82dd3eda8e0bc97dcee,i_54c31f93bb940a3b5fc90683,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L30,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,8a01e431d9ea876b47b28a4e9a98e3830cbe6ff729c998c6260095eacedddeb6,True,True,[]
f,c1-context-grid,s01,1,p10,run-c7990f016f03df407cbddeaf,i_1808d7feccbe3e58adf37dcc,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L31,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,b1de2a480d72b4a8003a3da6325d9184a2f8ec8e1a0d9cb286bb4d14ee932730,True,True,[]
f,c1-context-grid,s01,2,p10,run-7ecb98ad645a6666bc688d06,i_cde915069bc9cb0dae7b47cf,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L32,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,f4d9a2f3ac33a31097d63ddfffebe78628ffb5aca01b55ae1a42175f41819053,True,True,[]
f,c1-context-grid,s01,3,p10,run-dfef1d3e635e3104a2773f23,i_2155ed3bcbbccaf84cfbd4f7,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L33,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,73df582f5afb240db7ba4f60f94cb699bd4736db88b1732c3f5a58d727948fcf,True,True,[]
f,c1-context-grid,s02,1,p10,run-517fd6c9175fc9f9418ce3f8,i_6e50d2beac5818c6c20922bf,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L34,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,0edabb1331872ce6d7a7987993b9b4f06d0ffa6d6b09b46962c579b4e17ff63e,True,True,[]
f,c1-context-grid,s02,2,p10,run-571528ccebb4e80de96cb6f0,i_04f29206d8a9c75633674165,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L35,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,328166a72b3b18287ff8d13440026baa3b224148d306d44987fff0cac29033a1,True,True,[]
f,c1-context-grid,s02,3,p10,run-7105cf20c61ed8942a599a44,i_dadb82023957c878b79cd771,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L36,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,fa1e9004edb8557ddac8ab3436f8638af17ec861af9aadb272e04b1aac40407e,True,True,[]
f,c1-context-grid,s03,1,p10,run-152e524e6b15065859c21735,i_0dcf85aa39b33928df9044d8,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L37,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,f4b0702ea9d27fd41e3cddc7c652053a1eb407068f05a8c658223db788d5fcbc,True,True,[]
f,c1-context-grid,s03,2,p10,run-ccd8c170d9938905f5938644,i_6d2f2bfcf2bae8846b0330b3,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L38,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,1ac32fe9a41ae8f0c61965d88a6a66dc688c38383e5d91ffdc98f2dcaf24d1ca,True,True,[]
f,c1-context-grid,s03,3,p10,run-bf3a0a6b01e1ab41a75baf07,i_17cf749b8fa1a8595150b058,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L39,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,78ba9d9aa4957f81ac3dc79eeaecb376341350a4bd8af32c91d1941f1fdd70ec,True,True,[]
f,c1-context-grid,s04,1,p10,run-6de6c0cc6446815a53e7b848,i_62eabc09118c2c4d48011f47,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L40,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,6f54ea233598af85d8589b95fa4764a6cf9b2c860c38ef778c3ae8a746dd6613,True,True,[]
f,c1-context-grid,s04,2,p10,run-6ea49ac4006fa53911aa776b,i_767cd56c49ddfe6617d474be,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L41,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,40c701dde2aeaf64c9b569040c1e56085c330abdcbe92077fbc598e5de325149,True,True,[]
f,c1-context-grid,s04,3,p10,run-1fb372f7c4929a1835f92ff2,i_77ee69066567ec3a7bc1eca8,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L42,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,2bcc42ffc01f025537a8bba605dbad208a06d0aaa8cfc957c9ffd5c8fab80a5f,True,True,[]
f,c1-context-grid,s05,1,p10,run-1d0f757a2021d09361ac63bb,i_d1228296ff4f4c25ec589539,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L43,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,60ece910a27c323a7055df281e1d18b714cfca70bbd7b3edeedc464b639b9fb1,True,True,[]
f,c1-context-grid,s05,2,p10,run-4edefb717ebcc287c21c7ddd,i_8eec943933fbc964b7f4c84a,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L44,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,104fe4bb34efc14dfb568491b93cb43716e06b0401fe55e07de86c040eab4ecf,True,True,[]
f,c1-context-grid,s05,3,p10,run-dc8f979747addaacdea29a91,i_a4513efd1d3a991d5faab523,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L45,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,760978f3bd1ae97f6357a899e2fce4df34d12c1c2243deea96e17063b5d9ce58,True,True,[]
f,c1-context-grid,s01,1,p11,run-7c113754ad0a7f7b61d21658,i_2ea0bdea6756e84e9705d6b0,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L46,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,9106151886f142154aa7becaa311e7080c7056e21fb43dbb74d15afe83e8ab9e,True,True,[]
f,c1-context-grid,s01,2,p11,run-02bcf9b217c16a62e01e85d7,i_c56d733ccbfd1aaca9d40f31,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L47,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,a06d838e42f4871769819cf3d958cfbf76a58d507a655f233bbf4cfa7dd3569f,True,True,[]
f,c1-context-grid,s01,3,p11,run-07c1fef3b038da65698a7837,i_b911f8f8d7c6997b29665c94,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L48,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,310634bf73d1cb4b009fab1f8866c5d214f895f1b49df31bc50eee12934e115c,True,True,[]
f,c1-context-grid,s02,1,p11,run-e218d9385df9b4e1a6c402ce,i_5ecad0733ff7f7f9a4c8f45c,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L49,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,5f61825bdb4f2207e162310c1ddf48402abd22b34a9aeb11fefd93d4bfff5ab7,True,True,[]
f,c1-context-grid,s02,2,p11,run-b00b442a90b4c50fb51747b6,i_df405036a2a1ba8560ff65af,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L50,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,5d2a8f10b93d840f48f64fcd303e36d6d43d3fbe699445ecc1059a6e85d872dc,True,True,[]
f,c1-context-grid,s02,3,p11,run-499ca49652049a6ef0fc70e2,i_2724852faa62137ffc78da13,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L51,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,823f5776eda2c69ab188cf6d66aba2869cd8b22c4fbd3d1a498f2b0360213957,True,True,[]
f,c1-context-grid,s03,1,p11,run-46339ee772ca533e6962cdb7,i_0e654d5e6108cc4da447a2a7,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L52,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,67b10a0028b44ef0a2e433dc627a593c9bf455f54f9435a9925ed0988ed65eff,True,True,[]
f,c1-context-grid,s03,2,p11,run-d8a023448b26cd7c696d664b,i_fc755291bc48ae8467c9aafb,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L53,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,7234f289f953283ae63e3107b0fd4a6b9590f54ac4fce43a63cb86ea1c6da268,True,True,[]
f,c1-context-grid,s03,3,p11,run-79745ef529f0075514eff669,i_a1642301d1fd8a00ffb6711f,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L54,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,6b0f259bcf29d2f01ad311c7a2326629ca81e0bde9b7b3a477a19faa44aec186,True,True,[]
f,c1-context-grid,s04,1,p11,run-c85b546f47470b157747d9ab,i_595b634283913a3be27e4979,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L55,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,f61cc0fefa99adba3f72b0ac233c604747002b6bcce124b81630e657a2312c7c,True,True,[]
f,c1-context-grid,s04,2,p11,run-5aa8e59aef5f95dc4ae6a9d0,i_310b77195f6b7cc2dd0138c8,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L56,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,c89e1c642f028488be40109812f04764e669e5dca522992791991cad31588b94,True,True,[]
f,c1-context-grid,s04,3,p11,run-3dcc648c47e9ac6f4ac72ff7,i_9b87695ab827d263ad18e527,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L57,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,2301731e84f6488300191068f28bec429380df11414d387eb7582f15104684dc,True,True,[]
f,c1-context-grid,s05,1,p11,run-5c5e106f23e5a981e269f0f1,i_0694fce5c08fabfbf807172c,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L58,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,4e45d6d9be7f02ac250ba9aced8ace71def213213711d728d21699891d804956,True,True,[]
f,c1-context-grid,s05,2,p11,run-62145f598e3070cb33d02783,i_3562fb7a7a4c02799ebae709,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L59,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,b6f88b7c16da2f67a9dd7bfd90bce2937b8ff57165fcc0c30546800342dbd6c1,True,True,[]
f,c1-context-grid,s05,3,p11,run-9b44a88e75482f8d0ef9c2fa,i_9de3f6e5522f33d9c53e456e,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L60,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,0a9965fd3ef405acba01df758e1c66a79beeeb3ae57f8419e8163a8dd1c31601,True,True,[]
f,c2-tool-return-grid,s01,1,p00,run-c488e906905f00985a62b53a,i_025d532bc1104a190ca3caf6,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L61,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,2e0fc465585869500f9221c0eee59e7c7b889c159e765f2ee6968866619a0759,True,True,[]
f,c2-tool-return-grid,s01,2,p00,run-7790eecf87ee607b9d5630c5,i_cf30dd02283df44427893b36,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L62,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,a18677a1dffc4b4a6231d8bc0c090fafd7590e026756276364e68402e7ed225d,True,True,[]
f,c2-tool-return-grid,s01,3,p00,run-591789deeae0443e2d8dc38b,i_b29a46654eabae8d93ae221b,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L63,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,4ac8f352e3a500703b1b0cfe2aa23c5bc67caa45d10d74d5e34f0efd13baaa4a,True,True,[]
f,c2-tool-return-grid,s02,1,p00,run-a415083b8cec2c4c0871ba56,i_bb86482b10aee8efbd32112a,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L64,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,336a8122072eae668a4ef8977ba6b7fa300853686003a6e44058d4e409107341,True,True,[]
f,c2-tool-return-grid,s02,2,p00,run-69032697d7ba8330508fdf89,i_c681c84f968ea941125729ba,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L65,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,2cbbae837c1d2023e658788775e20fb5169c43534e776b8d67590d96f324c644,True,True,[]
f,c2-tool-return-grid,s02,3,p00,run-88d3bb886a35b56b5e2d2033,i_6024acb99b37cfb9961e197b,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L66,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,fa24baa9a0a7c79a22ad5620775acf604d5770ffaefe38aae52b1f5855f43e80,True,True,[]
f,c2-tool-return-grid,s03,1,p00,run-b71a5e378c9aa970d6f0d6cc,i_33980720de9c7be0d7f98014,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L67,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,22f2367ef9c4c98acd4e29294008a42fd76830b4586ca6354a2f9e168f275561,True,True,[]
f,c2-tool-return-grid,s03,2,p00,run-9f0d29efb7ae4a2d5c3c3f02,i_9cbf0bda04617fc6c719fab6,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L68,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,d2d9208d160a2442468cc315fb2153265f011f5e8cfea3cc9f8b6635cd5aa8bd,True,True,[]
f,c2-tool-return-grid,s03,3,p00,run-bd1c6b04f3621f4d0e527363,i_08303c28e0e2c33a6fcae299,completed,"[""normal"",""normal""]",[],True,True,datasets/t17-v2/stages/f/core-trials.jsonl#L69,0a299c725800facca2385c0aa7ee9db8846a870875ed8ed69fb0842c3dd245d0,12164d5a4dec4009c6d67c82a813356204f0840124b51fb052d2a9f465b88ee1,True,True,[]
