phase,design,cluster,repeat,complete,old_eligible,corrected_eligible,invalid_runs,run_ids
f,c2-tool-return-grid,s05,2,True,True,False,"[""run-40d1e36dac58b8255ec6193c""]","[""run-6ef1f6c08af68199754528dd"",""run-a94e852ef83a9213d3012437"",""run-40d1e36dac58b8255ec6193c"",""run-5f37466116db4aea0028ff8f""]"
f,c2-tool-return-grid,s05,3,True,True,True,[],"[""run-cc4e47fff15af3f17ede77f7"",""run-0db65b2ec50c6d3b7298dc7d"",""run-d08be3da5246b8b46220e93e"",""run-679bb0bff4a43900a855676d""]"
g,c1-context-grid,s01,1,True,False,False,"[""run-3b0fa535882a9ac125fe649b"",""run-98df0f0bab5f2894359f48c5"",""run-f1ab1d35142abbd68189fb76"",""run-7708af5dc11f49d0706eb9c1""]","[""run-3b0fa535882a9ac125fe649b"",""run-98df0f0bab5f2894359f48c5"",""run-f1ab1d35142abbd68189fb76"",""run-7708af5dc11f49d0706eb9c1""]"
g,c1-context-grid,s01,2,True,False,False,"[""run-bf0da736465d76b1324b5f0d""]","[""run-a5a6f226d982f937edd8fe6e"",""run-bf0da736465d76b1324b5f0d"",""run-efd7e75a3a19b1316ab30153"",""run-f6a7f89b886b8c1d4e0a4f69""]"
g,c1-context-grid,s01,3,True,False,False,"[""run-ff3e29a3d11e53cd9f5f2512"",""run-9071cc5c73e66f992b8c4c62"",""run-c0743e68eb2ebc033226eb10"",""run-e22fade7fd6323d927cb4df1""]","[""run-ff3e29a3d11e53cd9f5f2512"",""run-9071cc5c73e66f992b8c4c62"",""run-c0743e68eb2ebc033226eb10"",""run-e22fade7fd6323d927cb4df1""]"
g,c1-context-grid,s02,1,True,False,False,"[""run-6d44b3ea976d7fc5b7292092"",""run-2f391f7b4a8cfcfeac6cc84a""]","[""run-6d44b3ea976d7fc5b7292092"",""run-2f391f7b4a8cfcfeac6cc84a"",""run-ce825f7b5035efdbc0da8eb7"",""run-7fb907b18f21fbc1e78c38ec""]"
g,c1-context-grid,s02,2,True,False,False,"[""run-551158864947a9541bfd9351""]","[""run-d92a639f2d0e12d53e209886"",""run-551158864947a9541bfd9351"",""run-bf5d37d3a69a174df0c5d448"",""run-77f1d0523c6c4499b7dcc079""]"
g,c1-context-grid,s02,3,True,False,False,"[""run-657a8b12095c8630934e4200""]","[""run-3885945f6e626c4a712bcd47"",""run-657a8b12095c8630934e4200"",""run-3aef16c882f1ad8badd51fad"",""run-1b393dd47b8556145aeb0cf0""]"
g,c1-context-grid,s03,1,True,False,False,"[""run-dd017a84171784a92dc59b00""]","[""run-11633041649b522f56ee6aa5"",""run-dd017a84171784a92dc59b00"",""run-399c87f3dba76a9b3a7849f0"",""run-2d010ac02682e9a40d852016""]"
g,c1-context-grid,s03,2,True,False,False,"[""run-5bfd275fad676acfcd33ddee"",""run-4e832c607a4aefe746d4b78d""]","[""run-f77c3e6d23a92d23d4bfc1ef"",""run-3501f434750aab8dec6021c0"",""run-5bfd275fad676acfcd33ddee"",""run-4e832c607a4aefe746d4b78d""]"
g,c1-context-grid,s03,3,True,False,False,"[""run-ebae5248d0945cae4584a22d""]","[""run-71ce0d2b156c99f4e214e986"",""run-ebae5248d0945cae4584a22d"",""run-f3d4775815f851d1726e164e"",""run-b5490655e99bd42334bdffeb""]"
g,c1-context-grid,s04,1,True,False,False,"[""run-9592a5979c0e6a2869318b7a"",""run-3745952122af18ec1b0d3417"",""run-81f9e20cff047f1c1cdbd0a5""]","[""run-9592a5979c0e6a2869318b7a"",""run-3745952122af18ec1b0d3417"",""run-81f9e20cff047f1c1cdbd0a5"",""run-27f8b42e20c1d73e56feb793""]"
g,c1-context-grid,s04,2,True,False,False,"[""run-f64ac65cb49e1391c34701ba"",""run-c612861b3bd010e67b8712d8""]","[""run-f64ac65cb49e1391c34701ba"",""run-c612861b3bd010e67b8712d8"",""run-02f15de5b4e08b1d746c8874"",""run-9f705f2cb87703e068c4753c""]"
g,c1-context-grid,s04,3,True,False,False,"[""run-bfcf2e004553ff809178ed35"",""run-0ef68c3199fed1de8f1b645d"",""run-40cca805e36ea475205749f0"",""run-4a2edbeed7769604ebd32694""]","[""run-bfcf2e004553ff809178ed35"",""run-0ef68c3199fed1de8f1b645d"",""run-40cca805e36ea475205749f0"",""run-4a2edbeed7769604ebd32694""]"
g,c1-context-grid,s05,1,True,False,False,"[""run-f22627ab916e3cb6ef9e696c"",""run-38e107a942efab16d04f838c""]","[""run-f22627ab916e3cb6ef9e696c"",""run-38e107a942efab16d04f838c"",""run-5adbd2135b41d0a389a2ae2e"",""run-a98d89dc3d58b1c49619dc15""]"
g,c1-context-grid,s05,2,True,False,False,"[""run-fa323463b3c002347f7da87e"",""run-a6c3f4176a359ee4b10a99d4""]","[""run-fa323463b3c002347f7da87e"",""run-a6c3f4176a359ee4b10a99d4"",""run-f8388e72a83d9b152b46f2bb"",""run-6ad9c5db875e83b1d84fbdeb""]"
g,c1-context-grid,s05,3,True,False,False,"[""run-6bf6c9194559ef6a87dccad4"",""run-b7116cab466908ff59e4b31f""]","[""run-3c0d5adedf80ec7d5b77ae75"",""run-6bf6c9194559ef6a87dccad4"",""run-a7559e08c63a878c73c80e02"",""run-b7116cab466908ff59e4b31f""]"
g,c2-tool-return-grid,s01,1,True,False,False,"[""run-a2a5a5d1e4057b47ab1e4eba"",""run-4f8d360fbfea11f39a027a5c"",""run-befc2e967ab79820d72a91ed"",""run-05852c94e5983acafd62196a""]","[""run-a2a5a5d1e4057b47ab1e4eba"",""run-4f8d360fbfea11f39a027a5c"",""run-befc2e967ab79820d72a91ed"",""run-05852c94e5983acafd62196a""]"
g,c2-tool-return-grid,s01,2,True,False,False,"[""run-8ca47f4633000a0141a06c24"",""run-d7eb27fcc0dc9d9028919df0"",""run-8f0ad6db04a5a52c6085aa54""]","[""run-8ca47f4633000a0141a06c24"",""run-d7eb27fcc0dc9d9028919df0"",""run-8f0ad6db04a5a52c6085aa54"",""run-1692a7cea1175a23cb6be490""]"
g,c2-tool-return-grid,s01,3,True,False,False,"[""run-f3746f6fabc7e16dd8703f4c"",""run-8ed7f1beb5b1c0c817ea4cf2"",""run-dad470fa30ed0e9f937e7305""]","[""run-af25f9298c8023b9a169f8c1"",""run-f3746f6fabc7e16dd8703f4c"",""run-8ed7f1beb5b1c0c817ea4cf2"",""run-dad470fa30ed0e9f937e7305""]"
g,c2-tool-return-grid,s02,1,True,False,False,"[""run-34160e8c6e8335ce944785be"",""run-995ab8dac2c638c6c36b70f2"",""run-9b3a79bce3c9dd7585f5a8e6""]","[""run-34160e8c6e8335ce944785be"",""run-995ab8dac2c638c6c36b70f2"",""run-9b3a79bce3c9dd7585f5a8e6"",""run-af2ee701ad6564d13b04b311""]"
g,c2-tool-return-grid,s02,2,True,False,False,"[""run-7a066adb28f53eeee0964eb1""]","[""run-d17fa1ff50cfbfb956a37769"",""run-fe5b49be9b9ef9b37ef13b69"",""run-1e6e5fcfad24c6d249349a49"",""run-7a066adb28f53eeee0964eb1""]"
g,c2-tool-return-grid,s02,3,True,False,False,"[""run-66f82ece3aa70af534d8f342""]","[""run-a8280a428db0fd59805bfcb6"",""run-66f82ece3aa70af534d8f342"",""run-f7a93815cb3c03ec889c4e79"",""run-43add37b05c9e41aecff6429""]"
g,c2-tool-return-grid,s03,1,True,False,False,"[""run-a4f2dfdb829726a73d5a6a1c"",""run-1ce9f63ba0f9d200a90d65f4""]","[""run-4da6501f7dd28961f03426db"",""run-a4f2dfdb829726a73d5a6a1c"",""run-22578ff79b456906519bc6d0"",""run-1ce9f63ba0f9d200a90d65f4""]"
g,c2-tool-return-grid,s03,2,True,False,False,"[""run-068a0ceb4fb30261a3ac42f7"",""run-78fda22e882e27574f37e324""]","[""run-068a0ceb4fb30261a3ac42f7"",""run-78fda22e882e27574f37e324"",""run-388fb37c1e0f7e82cf8da075"",""run-e936927c786140d5751e3bc1""]"
g,c2-tool-return-grid,s03,3,True,True,True,[],"[""run-04f24628a5780cef6c9b1eb7"",""run-be3246ba829b9acaae6db62f"",""run-da9c1851f77f772a7d502a4d"",""run-e86a8dbe12e74bf186187a8d""]"
g,c2-tool-return-grid,s04,1,True,False,False,"[""run-2ecd78ce825e22249fb9a3c7""]","[""run-dfe2391f3fd2a9a37c569317"",""run-943078e925c172b91e11d036"",""run-eff25cb4b188ef770f596ebe"",""run-2ecd78ce825e22249fb9a3c7""]"
g,c2-tool-return-grid,s04,2,True,False,False,"[""run-799297cfc8786ae9998aaeaa"",""run-4a6c30528a38a4dcd77b86eb"",""run-ee70d8a407ee4853ab5c5dcf""]","[""run-1e20340ee4f23972b191c379"",""run-799297cfc8786ae9998aaeaa"",""run-4a6c30528a38a4dcd77b86eb"",""run-ee70d8a407ee4853ab5c5dcf""]"
g,c2-tool-return-grid,s04,3,True,False,False,"[""run-13dc6c3492a270d12eba9840"",""run-ef562a9248d011ee1712e7b5""]","[""run-d0f4adb7f4f3fab931478dc7"",""run-13dc6c3492a270d12eba9840"",""run-52de9c8264a989e643a02bee"",""run-ef562a9248d011ee1712e7b5""]"
g,c2-tool-return-grid,s05,1,True,False,False,"[""run-5982a83bde9e8b3ac9397204"",""run-3a820b37d767dfc8bac5386f""]","[""run-2498bb7bee052c02463fef20"",""run-a9beb56c52cbff626d58eabf"",""run-5982a83bde9e8b3ac9397204"",""run-3a820b37d767dfc8bac5386f""]"
g,c2-tool-return-grid,s05,2,True,False,False,"[""run-0e0ceb5373b8fd9bff3a8878""]","[""run-6115e1aacf71498c375fe379"",""run-0d42cb7cf2ab8839ae248f7c"",""run-0e0ceb5373b8fd9bff3a8878"",""run-96b277c3dcddf0710cdf052b""]"
g,c2-tool-return-grid,s05,3,True,False,False,"[""run-e50d877ec2c94b483d0683d0"",""run-da935d4caa4b56b149582261""]","[""run-e50d877ec2c94b483d0683d0"",""run-da935d4caa4b56b149582261"",""run-4452b5239a334ddf34860799"",""run-43964ba04b1ae49dcf82b645""]"
h,c1-context-grid,s01,1,True,True,True,[],"[""run-fbad8a39b7cc31a550568816"",""run-f4e520588e77a996851d27cc"",""run-a203c9a5ab53cfe4d3838de4"",""run-9836afd025da75e0834348fd""]"
h,c1-context-grid,s01,2,True,True,True,[],"[""run-f43c2fb1768855335bdc789b"",""run-77cef125a62ce13b9e73d708"",""run-7832d5c071dffc9644ccca92"",""run-eee2368f4382c1e0d4e06be8""]"
h,c1-context-grid,s01,3,True,True,True,[],"[""run-4de2ea06069a6e6f01633c9b"",""run-6ebc81de63dd3fa1ea40c57c"",""run-f4194ba5921032f8141b146a"",""run-2c5c6f54fe02a8191d7724b2""]"
h,c1-context-grid,s02,1,True,True,True,[],"[""run-9e8ff405ee9e069a97f57f5e"",""run-ebcc32652e6f9ef57fa66f8c"",""run-ef51fb2b27eb70f9352ecced"",""run-21e50569a2ed0c78f91f14f2""]"
h,c1-context-grid,s02,2,True,True,True,[],"[""run-cba2bafad314c68de4217f95"",""run-72deb6c9ee612d8b7986b5a5"",""run-6d44d2924ce4e0e3269ee6ea"",""run-39421040531c62617fcaf2ec""]"
h,c1-context-grid,s02,3,True,True,True,[],"[""run-c7edbf083a338feee9eff32f"",""run-ee55b71badbf0dd68404e94a"",""run-f193e07b15904e3b362d2507"",""run-741817ced1a11eb9771a8a0f""]"
h,c1-context-grid,s03,1,True,True,True,[],"[""run-c8880c93390da4336e36bf5f"",""run-3e7b69095aeacf53dfe67162"",""run-23d0103a0174f8b3294bee5e"",""run-2eb90189bb70d2d9b10277ab""]"
h,c1-context-grid,s03,2,True,True,True,[],"[""run-58020a734bdbec3bef1f29d1"",""run-a2952d6710cb7828e97a6b49"",""run-08fb2a735b738ec5c94d134a"",""run-7998405a599932a9dc11505a""]"
h,c1-context-grid,s03,3,True,True,True,[],"[""run-70dcf32524213a52b6682870"",""run-b94a3f9514db9ebab86ff4f1"",""run-954ebab4671eced287d4a2ab"",""run-878879a22d9d1c1bc4a18753""]"
h,c1-context-grid,s04,1,True,True,True,[],"[""run-9667b43d23147d2c3141c384"",""run-1b4d91259d9392c1df543866"",""run-7b56c8fe93857eb38c62ff24"",""run-5d8e1321cbbd19b206697d2a""]"
h,c1-context-grid,s04,2,True,True,True,[],"[""run-6005f54dfb2a6c11f10b9b37"",""run-43212ed86ceb2d00a4c0e687"",""run-a1244ac5a50b118476046f65"",""run-076b80ca34d68bf3ad590dd8""]"
h,c1-context-grid,s04,3,True,True,True,[],"[""run-e19dd7225d70a22c027f5db3"",""run-8c381aa1e1d84770499897f9"",""run-88892c2acdf83296dff3fef4"",""run-509e990685814476785a2a9e""]"
h,c1-context-grid,s05,1,True,True,True,[],"[""run-3f8274acd2e68e807fd84049"",""run-a1f1331a81a5f7ed58700144"",""run-4a959f3176ce5f4b3e3f46e9"",""run-787fe9d56f9d4e11181cee1f""]"
h,c1-context-grid,s05,2,True,True,True,[],"[""run-f25d400072dd342ec0bd7ffb"",""run-c01e05cbbe24d4a9ac6919cf"",""run-15b2d49be877d9868b97c26e"",""run-58141c0220fe6849d9589e94""]"
h,c1-context-grid,s05,3,True,True,True,[],"[""run-c0602b48013ab8bcc0279dfe"",""run-5be4d7e7e25ec6c46661b3c9"",""run-49fa9d277d11a1d1a12311ec"",""run-80a58d16869644e5a130ab94""]"
h,c2-tool-return-grid,s01,1,True,True,True,[],"[""run-cfe82f0a182593ee829f6436"",""run-c779a68e3e96edabc541053c"",""run-82b59fcbe07f9c1d3b87106f"",""run-7cd86374db27806bb79afc9a""]"
h,c2-tool-return-grid,s01,2,True,True,True,[],"[""run-a7de971793fee88286929660"",""run-63799c85b5140899eea49c0d"",""run-89de86f2c143c72c57dec4af"",""run-4cce4ed015b0336c8e9b2455""]"
h,c2-tool-return-grid,s01,3,True,True,True,[],"[""run-a31ec4706ba6cea8ccf2fb94"",""run-1cfdb99f57dbf672c3ec4991"",""run-5055dab123b03fc688e57bd5"",""run-016c1bdf5e041f6e704841f0""]"
h,c2-tool-return-grid,s02,1,True,True,True,[],"[""run-be10d496effefd695372fe89"",""run-5e48dea4a7331710a168d890"",""run-622b14642820d50bbcda6564"",""run-f86c1a4607d9494efeb17685""]"
h,c2-tool-return-grid,s02,2,True,True,True,[],"[""run-7934ca488650b9c513292043"",""run-3871c01d594cac99536f44f4"",""run-303650e0c97421b4e0ce536d"",""run-20c2ea4659c268c83c085061""]"
h,c2-tool-return-grid,s02,3,True,True,True,[],"[""run-16fa6215b9106dad54bb2141"",""run-c226a90cb02e6b83a1f586d0"",""run-246350dc7b47ec62cd281b97"",""run-8016c8ea1c294061a2898786""]"
h,c2-tool-return-grid,s03,1,True,True,True,[],"[""run-e9290a84d0bafaf094894399"",""run-c011732c7ea5d15e07a2292b"",""run-600e2e16c05bba17bda7ef3b"",""run-73b0536eecd3b6e7938b3db2""]"
h,c2-tool-return-grid,s03,2,True,True,True,[],"[""run-af343b5ccc96daf491244ab3"",""run-4c78395eac46d6e9964b35c4"",""run-6c58f9054034299358f45905"",""run-5a06655f3cd4bbbee0d67129""]"
h,c2-tool-return-grid,s03,3,True,True,True,[],"[""run-b38edc5a4d03b4e01c2d2082"",""run-c24936fc9a0f152d36705427"",""run-6f01473dc07e97468e230df7"",""run-047d1122d9ad81c900a4b39f""]"
h,c2-tool-return-grid,s04,1,True,True,True,[],"[""run-2b7f76d2ed8cc8865b97f651"",""run-7879df4f4f02152cbc2ab07e"",""run-934da8023e3c8cbd60115164"",""run-6ddd724f151fad44b46c31c9""]"
h,c2-tool-return-grid,s04,2,True,True,True,[],"[""run-34bdd05d1c8a34014b3db63f"",""run-89ae0e80ef472002366e5183"",""run-2071dba404e87a0f73faa5ba"",""run-6f9c9deec14e9e7ff276a459""]"
h,c2-tool-return-grid,s04,3,True,True,True,[],"[""run-6a09508c644f8854983a3528"",""run-fe10c29f3d7416d27d74dbf9"",""run-6fbefdd5511cf420dc1ae731"",""run-27473cdcc48117bf87c59b31""]"
h,c2-tool-return-grid,s05,1,True,True,False,"[""run-79a5135eb2ce4449381ee2d9""]","[""run-79a5135eb2ce4449381ee2d9"",""run-ff019645d41473873968eea2"",""run-dc3077ef2b5d67b5bce2c34f"",""run-79a16d21f6a2a3a81b2f582e""]"
h,c2-tool-return-grid,s05,2,True,True,False,"[""run-8ac7e831020206ab24e9b97e""]","[""run-8ac7e831020206ab24e9b97e"",""run-f4dc47f58a29a4244393b882"",""run-2a71b202ed823630a6bda4a7"",""run-6e7b2f1b3b886a9a0c2b6c4c""]"
h,c2-tool-return-grid,s05,3,True,True,True,[],"[""run-4830d5eca8f5713b39f7cb7b"",""run-b799081cdbc63b1fe6206a95"",""run-2593dada0bd74e606398aad0"",""run-fb96379e2086aa6ad6fbb8b5""]"
