row_id,source_ref,source_sha256,contract,unit,boundary
A011,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L656,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,T17-v2-actual-code-1535005c0085,matched four-cell run grid,HIAA 目标 Effect 可有真实授权，因此不等于 UEA; 五表述簇不是独立任务模板；退化区间不证明总体确定性; cells from 论文材料/P3_机制测量/p3r-20260917-103400/legacy/HIAA_CELLS.csv
A012,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L661,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,T17-v2-actual-code-1535005c0085,matched four-cell run grid,干预后筛选敏感性分析；不得替代 scheduled 主口径; 缺完整四格 N/A；仅一个簇无确认性区间; cells from 论文材料/P3_机制测量/p3r-20260917-103400/legacy/HIAA_CELLS.csv
A013,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L268,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,T17-v2-actual-code-e492693c0b5a,declared sensitivity-weighted observed effect-type set,"原实现 _reachable 使用已执行效果；并非静态穷尽可达效果集合; 本轮保留原值0，静态理论 HIAA_pot 另列缺证; observed unauthorized effect union only, not static capability"
A014,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L279,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,T17-v2-actual-code-e492693c0b5a,declared sensitivity-weighted observed effect-type set,"原实现 _reachable 使用已执行效果；并非静态穷尽可达效果集合; 本轮保留原值0，静态理论 HIAA_pot 另列缺证; observed unauthorized effect union only, not static capability"
A015,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L390,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,T17-v2-actual-code-e492693c0b5a,declared sensitivity-weighted observed effect-type set,"原实现 _reachable 使用已执行效果；并非静态穷尽可达效果集合; 本轮保留原值0，静态理论 HIAA_pot 另列缺证; observed unauthorized effect union only, not static capability"
A016,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L401,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,T17-v2-actual-code-e492693c0b5a,declared sensitivity-weighted observed effect-type set,"原实现 _reachable 使用已执行效果；并非静态穷尽可达效果集合; 本轮保留原值0，静态理论 HIAA_pot 另列缺证; observed unauthorized effect union only, not static capability"
A017,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L655,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,T17-v2-actual-code-e492693c0b5a,declared sensitivity-weighted observed effect-type set,"原实现 _reachable 使用已执行效果；并非静态穷尽可达效果集合; 本轮保留原值0，静态理论 HIAA_pot 另列缺证; observed unauthorized effect union only, not static capability"
A018,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L666,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,T17-v2-actual-code-e492693c0b5a,declared sensitivity-weighted observed effect-type set,"原实现 _reachable 使用已执行效果；并非静态穷尽可达效果集合; 本轮保留原值0，静态理论 HIAA_pot 另列缺证; observed unauthorized effect union only, not static capability"
A019,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L1040,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,declared_finite_v1,declared effect-type weighted set,"Finite declared construct, not historical T17 static recovery"
A020,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L1044,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,declared_finite_v1,declared effect-type weighted set,"Finite declared construct, not historical T17 static recovery"
A021,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L1042,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,declared_finite_v1,declared effect-type weighted set,"Finite declared construct, not historical T17 static recovery"
A022,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L1039,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,declared_finite_v1,declared effect-type weighted set,"Finite declared construct, not historical T17 static recovery"
A023,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L1041,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,declared_finite_v1,declared effect-type weighted set,"Finite declared construct, not historical T17 static recovery"
A024,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L1038,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,declared_finite_v1,declared effect-type weighted set,"Finite declared construct, not historical T17 static recovery"
A025,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L1043,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,declared_finite_v1,declared effect-type weighted set,"Finite declared construct, not historical T17 static recovery"
A026,论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=94,879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,unique authorization request,Separate scripted/fake reference and mode; not live attack evidence
A027,论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=96,879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,unique authorization request,Separate scripted/fake reference and mode; not live attack evidence
A028,论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=93,879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,unique authorization request,Separate scripted/fake reference and mode; not live attack evidence
A029,论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=95,879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,unique authorization request,Separate scripted/fake reference and mode; not live attack evidence
A030,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=44,71,75",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,unique authorization request,Separate scripted/fake reference and mode; not live attack evidence
A031,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=43,70",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,unique authorization request,Separate scripted/fake reference and mode; not live attack evidence
A032,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=42,69",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,unique authorization request,Separate scripted/fake reference and mode; not live attack evidence
A033,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=46,73,76",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,unique authorization request,Separate scripted/fake reference and mode; not live attack evidence
A034,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=38,65,74",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,unique authorization request,Separate scripted/fake reference and mode; not live attack evidence
A035,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=45,72",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,unique authorization request,Separate scripted/fake reference and mode; not live attack evidence
A036,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=40,67",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,unique authorization request,Separate scripted/fake reference and mode; not live attack evidence
A037,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=41,68",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,unique authorization request,Separate scripted/fake reference and mode; not live attack evidence
A038,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=39,66",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,unique authorization request,Separate scripted/fake reference and mode; not live attack evidence
A039,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L255,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,T17-v2-actual-code-fccd3b9a0fc6,ratio,"T17-v2 reason 由原事实和配置规则推导；不是显式历史 reason 字段; 七条件显式字段严格版另表未知；不从 Judge 补证; original 是 identity replay 分支，不是额外第三独立臂; legacy derived reason point, not either explicit-reason strict contract"
A040,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L377,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,T17-v2-actual-code-fccd3b9a0fc6,ratio,"T17-v2 reason 由原事实和配置规则推导；不是显式历史 reason 字段; 七条件显式字段严格版另表未知；不从 Judge 补证; original 是 identity replay 分支，不是额外第三独立臂; legacy derived reason point, not either explicit-reason strict contract"
A041,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L642,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,T17-v2-actual-code-fccd3b9a0fc6,ratio,"T17-v2 reason 由原事实和配置规则推导；不是显式历史 reason 字段; 七条件显式字段严格版另表未知；不从 Judge 补证; original 是 identity replay 分支，不是额外第三独立臂; legacy derived reason point, not either explicit-reason strict contract"
A042,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L1056,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,frozen_replica_guard_strict,unique authorization request,Explicit unknown-reason observation ablation where named
A043,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L1055,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,frozen_replica_guard_strict,unique authorization request,Explicit unknown-reason observation ablation where named
A044,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L1053,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,frozen_replica_guard_strict,unique authorization request,Explicit unknown-reason observation ablation where named
A045,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L1054,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,frozen_replica_guard_strict,unique authorization request,Explicit unknown-reason observation ablation where named
A046,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L1057,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,frozen_replica_guard_strict,unique authorization request,Explicit unknown-reason observation ablation where named
A047,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L998,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,frozen_replica_guard_strict,unique authorization request,Original exposed unique request; local reference policy; replica sensitivity separate
A048,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L997,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,t11_strict,unique authorization request,Original exposed unique request; local reference policy; replica sensitivity separate
A049,论文材料/P4_测量证据消融/p4-20260917-123623/P4_METRIC_MAIN.jsonl#L5,3d777b05db56bd90fa46b2804cef0bd1e2a027c047cf726fe1ed0c6f0f5c7d11,T11_explicit_reason,unique_request_or_no_request_sentinel,No reinterpretation of stronger conjunction as lower risk; no qualified confirmed-prefix denominator
A050,论文材料/P4_测量证据消融/p4-20260917-123623/P4_METRIC_MAIN.jsonl#L6,3d777b05db56bd90fa46b2804cef0bd1e2a027c047cf726fe1ed0c6f0f5c7d11,P3R_identity_guard,unique_request_or_no_request_sentinel,No reinterpretation of stronger conjunction as lower risk; no qualified confirmed-prefix denominator
A051,论文材料/P4_测量证据消融/p4-20260917-123623/P4_METRIC_MAIN.jsonl#L22,3d777b05db56bd90fa46b2804cef0bd1e2a027c047cf726fe1ed0c6f0f5c7d11,T11_explicit_reason,unique_request_or_no_request_sentinel,No reinterpretation of stronger conjunction as lower risk; no qualified confirmed-prefix denominator
A052,论文材料/P4_测量证据消融/p4-20260917-123623/P4_METRIC_MAIN.jsonl#L23,3d777b05db56bd90fa46b2804cef0bd1e2a027c047cf726fe1ed0c6f0f5c7d11,P3R_identity_guard,unique_request_or_no_request_sentinel,No reinterpretation of stronger conjunction as lower risk; no qualified confirmed-prefix denominator
A053,论文材料/P4_测量证据消融/p4-20260917-123623/P4_METRIC_MAIN.jsonl#L39,3d777b05db56bd90fa46b2804cef0bd1e2a027c047cf726fe1ed0c6f0f5c7d11,T11_explicit_reason,unique_request_or_no_request_sentinel,No reinterpretation of stronger conjunction as lower risk; no qualified confirmed-prefix denominator
A054,论文材料/P4_测量证据消融/p4-20260917-123623/P4_METRIC_MAIN.jsonl#L40,3d777b05db56bd90fa46b2804cef0bd1e2a027c047cf726fe1ed0c6f0f5c7d11,P3R_identity_guard,unique_request_or_no_request_sentinel,No reinterpretation of stronger conjunction as lower risk; no qualified confirmed-prefix denominator
A055,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L982,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,RIR_chain_v1,parent chain at session k,No confirmed polluted-prefix observation
A056,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L983,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,RIR_chain_v1,parent chain at session k,No confirmed polluted-prefix observation
A057,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L986,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,RIR_chain_v1,parent chain at session k,No confirmed polluted-prefix observation
A058,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L987,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,RIR_chain_v1,parent chain at session k,No confirmed polluted-prefix observation
A059,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L990,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,RIR_chain_v1,parent chain at session k,No confirmed polluted-prefix observation
A060,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L991,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,RIR_chain_v1,parent chain at session k,No confirmed polluted-prefix observation
A061,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=79,87",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,saved eligible chain at k,Separate scripted/fake reference and mode; not live attack evidence
A062,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=80,88",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,saved eligible chain at k,Separate scripted/fake reference and mode; not live attack evidence
A063,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=83,91",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,saved eligible chain at k,Separate scripted/fake reference and mode; not live attack evidence
A064,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=84,92",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,saved eligible chain at k,Separate scripted/fake reference and mode; not live attack evidence
A065,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=77,85",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,saved eligible chain at k,Separate scripted/fake reference and mode; not live attack evidence
A066,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=78,86",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,saved eligible chain at k,Separate scripted/fake reference and mode; not live attack evidence
A067,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=81,89",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,saved eligible chain at k,Separate scripted/fake reference and mode; not live attack evidence
A068,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=82,90",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,saved eligible chain at k,Separate scripted/fake reference and mode; not live attack evidence
A069,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=14,32,53,62",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,saved eligible chain at k,Separate scripted/fake reference and mode; not live attack evidence
A070,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=15,33",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,saved eligible chain at k,Separate scripted/fake reference and mode; not live attack evidence
A071,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=12,30,52,61",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,saved eligible chain at k,Separate scripted/fake reference and mode; not live attack evidence
A072,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=13,31",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,saved eligible chain at k,Separate scripted/fake reference and mode; not live attack evidence
A073,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=10,28,51,60",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,saved eligible chain at k,Separate scripted/fake reference and mode; not live attack evidence
A074,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=11,29",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,saved eligible chain at k,Separate scripted/fake reference and mode; not live attack evidence
A075,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=18,36,55,64",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,saved eligible chain at k,Separate scripted/fake reference and mode; not live attack evidence
A076,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=19,37",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,saved eligible chain at k,Separate scripted/fake reference and mode; not live attack evidence
A077,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=2,20,47,56",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,saved eligible chain at k,Separate scripted/fake reference and mode; not live attack evidence
A078,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=3,21",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,saved eligible chain at k,Separate scripted/fake reference and mode; not live attack evidence
A079,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=16,34,54,63",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,saved eligible chain at k,Separate scripted/fake reference and mode; not live attack evidence
A080,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=17,35",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,saved eligible chain at k,Separate scripted/fake reference and mode; not live attack evidence
A081,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=6,24,49,58",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,saved eligible chain at k,Separate scripted/fake reference and mode; not live attack evidence
A082,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=7,25",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,saved eligible chain at k,Separate scripted/fake reference and mode; not live attack evidence
A083,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=8,26,50,59",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,saved eligible chain at k,Separate scripted/fake reference and mode; not live attack evidence
A084,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=9,27",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,saved eligible chain at k,Separate scripted/fake reference and mode; not live attack evidence
A085,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=4,22,48,57",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,saved eligible chain at k,Separate scripted/fake reference and mode; not live attack evidence
A086,"论文材料/P3_机制测量/p3r-20260917-103400/T18_ALR_RIR_RECOVERED.csv#rows=5,23",879c62eb74a63b3f2085bcdc3a877d12c9a1cf64b9a21b02189c7735146542e9,T18_original_contract,saved eligible chain at k,Separate scripted/fake reference and mode; not live attack evidence
A087,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L253,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,T17-v2-actual-code-073c22fd14cd,ratio,分母为任务成功条件子集，并未额外要求已确认污染前缀; 原实现以正 selector CI+ancestry 归因，不是每个 Artifact 的独立 GT_influence; 0/13 不等于所有撤销场景无残留；空分母 N/A
A088,论文材料/P3_机制测量/p3r-20260917-103400/METRICS_LONG.jsonl#L254,f844c27e710ebf9a5f355d0f7d9f2a39251945ae17f184667528db13120c4c21,T17-v2-actual-code-073c22fd14cd,ratio,分母为任务成功条件子集，并未额外要求已确认污染前缀; 原实现以正 selector CI+ancestry 归因，不是每个 Artifact 的独立 GT_influence; 0/13 不等于所有撤销场景无残留；空分母 N/A
