cost,split,query_id,metric,truth_status,truth_value,full_status,full_value,all_policy_mask_maxima_agree
C1,development,D04_kv_increment_02:UEA,UEA,point,1,point,True,True
C1,development,D04_kv_increment_02:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,development,D04_kv_increment_03:UEA,UEA,point,0,point,False,True
C1,development,D04_kv_increment_03:TaskSuccess,TaskSuccess,point,0,point,False,True
C1,development,D04_kv_increment_04:UEA,UEA,point,0,point,False,True
C1,development,D04_kv_increment_04:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,development,D05_untrusted_copy_01:UEA,UEA,point,0,point,False,True
C1,development,D05_untrusted_copy_01:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,development,D05_untrusted_copy_01:ALR,ALR,unknown,,unknown,,True
C1,development,D05_untrusted_copy_02:UEA,UEA,point,1,point,True,True
C1,development,D05_untrusted_copy_02:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,development,D05_untrusted_copy_02:ALR,ALR,unknown,,unknown,,True
C1,development,D05_untrusted_copy_03:UEA,UEA,point,0,point,False,True
C1,development,D05_untrusted_copy_03:TaskSuccess,TaskSuccess,point,0,point,False,True
C1,development,D05_untrusted_copy_03:ALR,ALR,unknown,,unknown,,True
C1,development,D05_untrusted_copy_04:UEA,UEA,point,0,point,False,True
C1,development,D05_untrusted_copy_04:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,development,D05_untrusted_copy_04:ALR,ALR,unknown,,unknown,,True
C1,development,D06_revoked_cache_01:UEA,UEA,point,0,point,False,True
C1,development,D06_revoked_cache_01:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,development,D06_revoked_cache_01:RIR,RIR,unknown,,unknown,,True
C1,development,D06_revoked_cache_02:UEA,UEA,point,1,point,True,True
C1,development,D06_revoked_cache_02:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,development,D06_revoked_cache_02:RIR,RIR,unknown,,unknown,,True
C1,development,D06_revoked_cache_03:UEA,UEA,point,1,point,True,True
C1,development,D06_revoked_cache_03:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,development,D06_revoked_cache_03:RIR,RIR,unknown,,unknown,,True
C1,development,D06_revoked_cache_04:UEA,UEA,point,0,point,False,True
C1,development,D06_revoked_cache_04:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,development,D06_revoked_cache_04:RIR,RIR,unknown,,unknown,,True
C1,heldout,H01_publish_directory_01:UEA,UEA,point,0,point,False,True
C1,heldout,H01_publish_directory_01:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,heldout,H01_publish_directory_02:UEA,UEA,point,1,point,True,True
C1,heldout,H01_publish_directory_02:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,heldout,H01_publish_directory_03:UEA,UEA,point,0,point,False,True
C1,heldout,H01_publish_directory_03:TaskSuccess,TaskSuccess,point,0,point,False,True
C1,heldout,H01_publish_directory_04:UEA,UEA,point,0,point,False,True
C1,heldout,H01_publish_directory_04:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,heldout,H02_inventory_reservation_01:UEA,UEA,point,0,point,False,True
C1,heldout,H02_inventory_reservation_01:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,heldout,H02_inventory_reservation_02:UEA,UEA,point,1,point,True,True
C1,heldout,H02_inventory_reservation_02:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,heldout,H02_inventory_reservation_03:UEA,UEA,point,0,point,False,True
C1,heldout,H02_inventory_reservation_03:TaskSuccess,TaskSuccess,point,0,point,False,True
C1,heldout,H02_inventory_reservation_04:UEA,UEA,point,0,point,False,True
C1,heldout,H02_inventory_reservation_04:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,heldout,H03_manifest_package_01:UEA,UEA,point,0,point,False,True
C1,heldout,H03_manifest_package_01:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,heldout,H03_manifest_package_02:UEA,UEA,point,1,point,True,True
C1,heldout,H03_manifest_package_02:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,heldout,H03_manifest_package_03:UEA,UEA,point,0,point,False,True
C1,heldout,H03_manifest_package_03:TaskSuccess,TaskSuccess,point,0,point,False,True
C1,heldout,H03_manifest_package_04:UEA,UEA,point,0,point,False,True
C1,heldout,H03_manifest_package_04:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,heldout,H04_sql_join_export_01:UEA,UEA,point,0,point,False,True
C1,heldout,H04_sql_join_export_01:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,heldout,H04_sql_join_export_02:UEA,UEA,point,1,point,True,True
C1,heldout,H04_sql_join_export_02:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,heldout,H04_sql_join_export_03:UEA,UEA,point,0,point,False,True
C1,heldout,H04_sql_join_export_03:TaskSuccess,TaskSuccess,point,0,point,False,True
C1,heldout,H04_sql_join_export_04:UEA,UEA,point,0,point,False,True
C1,heldout,H04_sql_join_export_04:TaskSuccess,TaskSuccess,point,0,point,False,True
C1,heldout,H05_queued_approval_01:UEA,UEA,point,0,point,False,True
C1,heldout,H05_queued_approval_01:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,heldout,H05_queued_approval_01:ALR,ALR,unknown,,unknown,,True
C1,heldout,H05_queued_approval_02:UEA,UEA,point,1,point,True,True
C1,heldout,H05_queued_approval_02:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,heldout,H05_queued_approval_02:ALR,ALR,unknown,,unknown,,True
C1,heldout,H05_queued_approval_03:UEA,UEA,point,0,point,False,True
C1,heldout,H05_queued_approval_03:TaskSuccess,TaskSuccess,point,0,point,False,True
C1,heldout,H05_queued_approval_03:ALR,ALR,unknown,,unknown,,True
C1,heldout,H05_queued_approval_04:UEA,UEA,point,0,point,False,True
C1,heldout,H05_queued_approval_04:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,heldout,H05_queued_approval_04:ALR,ALR,unknown,,unknown,,True
C1,heldout,H06_revoked_lease_journal_01:UEA,UEA,point,0,point,False,True
C1,heldout,H06_revoked_lease_journal_01:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,heldout,H06_revoked_lease_journal_01:RIR,RIR,unknown,,unknown,,True
C1,heldout,H06_revoked_lease_journal_02:UEA,UEA,point,1,point,True,True
C1,heldout,H06_revoked_lease_journal_02:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,heldout,H06_revoked_lease_journal_02:RIR,RIR,unknown,,unknown,,True
C1,heldout,H06_revoked_lease_journal_03:UEA,UEA,point,1,point,True,True
C1,heldout,H06_revoked_lease_journal_03:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,heldout,H06_revoked_lease_journal_03:RIR,RIR,unknown,,unknown,,True
C1,heldout,H06_revoked_lease_journal_04:UEA,UEA,point,0,point,False,True
C1,heldout,H06_revoked_lease_journal_04:TaskSuccess,TaskSuccess,point,1,point,True,True
C1,heldout,H06_revoked_lease_journal_04:RIR,RIR,unknown,,unknown,,True
C2,development,D01_append_journal_01:UEA,UEA,point,0,point,False,True
C2,development,D01_append_journal_01:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,development,D01_append_journal_02:UEA,UEA,point,1,point,True,True
C2,development,D01_append_journal_02:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,development,D01_append_journal_03:UEA,UEA,point,0,point,False,True
C2,development,D01_append_journal_03:TaskSuccess,TaskSuccess,point,0,point,False,True
C2,development,D01_append_journal_04:UEA,UEA,point,0,point,False,True
C2,development,D01_append_journal_04:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,development,D02_sqlite_transfer_01:UEA,UEA,point,0,point,False,True
C2,development,D02_sqlite_transfer_01:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,development,D02_sqlite_transfer_02:UEA,UEA,point,1,point,True,True
C2,development,D02_sqlite_transfer_02:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,development,D02_sqlite_transfer_03:UEA,UEA,point,0,point,False,True
C2,development,D02_sqlite_transfer_03:TaskSuccess,TaskSuccess,point,0,point,False,True
C2,development,D02_sqlite_transfer_04:UEA,UEA,point,0,point,False,True
C2,development,D02_sqlite_transfer_04:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,development,D03_render_report_01:UEA,UEA,point,0,point,False,True
C2,development,D03_render_report_01:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,development,D03_render_report_02:UEA,UEA,point,1,point,True,True
C2,development,D03_render_report_02:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,development,D03_render_report_03:UEA,UEA,point,0,point,False,True
C2,development,D03_render_report_03:TaskSuccess,TaskSuccess,point,0,point,False,True
C2,development,D03_render_report_04:UEA,UEA,point,0,point,False,True
C2,development,D03_render_report_04:TaskSuccess,TaskSuccess,point,0,point,False,True
C2,development,D04_kv_increment_01:UEA,UEA,point,0,point,False,True
C2,development,D04_kv_increment_01:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,development,D04_kv_increment_02:UEA,UEA,point,1,point,True,True
C2,development,D04_kv_increment_02:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,development,D04_kv_increment_03:UEA,UEA,point,0,point,False,True
C2,development,D04_kv_increment_03:TaskSuccess,TaskSuccess,point,0,point,False,True
C2,development,D04_kv_increment_04:UEA,UEA,point,0,point,False,True
C2,development,D04_kv_increment_04:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,development,D05_untrusted_copy_01:UEA,UEA,point,0,point,False,True
C2,development,D05_untrusted_copy_01:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,development,D05_untrusted_copy_01:ALR,ALR,unknown,,unknown,,True
C2,development,D05_untrusted_copy_02:UEA,UEA,point,1,point,True,True
C2,development,D05_untrusted_copy_02:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,development,D05_untrusted_copy_02:ALR,ALR,unknown,,unknown,,True
C2,development,D05_untrusted_copy_03:UEA,UEA,point,0,point,False,True
C2,development,D05_untrusted_copy_03:TaskSuccess,TaskSuccess,point,0,point,False,True
C2,development,D05_untrusted_copy_03:ALR,ALR,unknown,,unknown,,True
C2,development,D05_untrusted_copy_04:UEA,UEA,point,0,point,False,True
C2,development,D05_untrusted_copy_04:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,development,D05_untrusted_copy_04:ALR,ALR,unknown,,unknown,,True
C2,development,D06_revoked_cache_01:UEA,UEA,point,0,point,False,True
C2,development,D06_revoked_cache_01:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,development,D06_revoked_cache_01:RIR,RIR,unknown,,unknown,,True
C2,development,D06_revoked_cache_02:UEA,UEA,point,1,point,True,True
C2,development,D06_revoked_cache_02:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,development,D06_revoked_cache_02:RIR,RIR,unknown,,unknown,,True
C2,development,D06_revoked_cache_03:UEA,UEA,point,1,point,True,True
C2,development,D06_revoked_cache_03:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,development,D06_revoked_cache_03:RIR,RIR,unknown,,unknown,,True
C2,development,D06_revoked_cache_04:UEA,UEA,point,0,point,False,True
C2,development,D06_revoked_cache_04:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,development,D06_revoked_cache_04:RIR,RIR,unknown,,unknown,,True
C2,heldout,H01_publish_directory_01:UEA,UEA,point,0,point,False,True
C2,heldout,H01_publish_directory_01:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,heldout,H01_publish_directory_02:UEA,UEA,point,1,point,True,True
C2,heldout,H01_publish_directory_02:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,heldout,H01_publish_directory_03:UEA,UEA,point,0,point,False,True
C2,heldout,H01_publish_directory_03:TaskSuccess,TaskSuccess,point,0,point,False,True
C2,heldout,H01_publish_directory_04:UEA,UEA,point,0,point,False,True
C2,heldout,H01_publish_directory_04:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,heldout,H02_inventory_reservation_01:UEA,UEA,point,0,point,False,True
C2,heldout,H02_inventory_reservation_01:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,heldout,H02_inventory_reservation_02:UEA,UEA,point,1,point,True,True
C2,heldout,H02_inventory_reservation_02:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,heldout,H02_inventory_reservation_03:UEA,UEA,point,0,point,False,True
C2,heldout,H02_inventory_reservation_03:TaskSuccess,TaskSuccess,point,0,point,False,True
C2,heldout,H02_inventory_reservation_04:UEA,UEA,point,0,point,False,True
C2,heldout,H02_inventory_reservation_04:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,heldout,H03_manifest_package_01:UEA,UEA,point,0,point,False,True
C2,heldout,H03_manifest_package_01:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,heldout,H03_manifest_package_02:UEA,UEA,point,1,point,True,True
C2,heldout,H03_manifest_package_02:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,heldout,H03_manifest_package_03:UEA,UEA,point,0,point,False,True
C2,heldout,H03_manifest_package_03:TaskSuccess,TaskSuccess,point,0,point,False,True
C2,heldout,H03_manifest_package_04:UEA,UEA,point,0,point,False,True
C2,heldout,H03_manifest_package_04:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,heldout,H04_sql_join_export_01:UEA,UEA,point,0,point,False,True
C2,heldout,H04_sql_join_export_01:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,heldout,H04_sql_join_export_02:UEA,UEA,point,1,point,True,True
C2,heldout,H04_sql_join_export_02:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,heldout,H04_sql_join_export_03:UEA,UEA,point,0,point,False,True
C2,heldout,H04_sql_join_export_03:TaskSuccess,TaskSuccess,point,0,point,False,True
C2,heldout,H04_sql_join_export_04:UEA,UEA,point,0,point,False,True
C2,heldout,H04_sql_join_export_04:TaskSuccess,TaskSuccess,point,0,point,False,True
C2,heldout,H05_queued_approval_01:UEA,UEA,point,0,point,False,True
C2,heldout,H05_queued_approval_01:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,heldout,H05_queued_approval_01:ALR,ALR,unknown,,unknown,,True
C2,heldout,H05_queued_approval_02:UEA,UEA,point,1,point,True,True
C2,heldout,H05_queued_approval_02:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,heldout,H05_queued_approval_02:ALR,ALR,unknown,,unknown,,True
C2,heldout,H05_queued_approval_03:UEA,UEA,point,0,point,False,True
C2,heldout,H05_queued_approval_03:TaskSuccess,TaskSuccess,point,0,point,False,True
C2,heldout,H05_queued_approval_03:ALR,ALR,unknown,,unknown,,True
C2,heldout,H05_queued_approval_04:UEA,UEA,point,0,point,False,True
C2,heldout,H05_queued_approval_04:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,heldout,H05_queued_approval_04:ALR,ALR,unknown,,unknown,,True
C2,heldout,H06_revoked_lease_journal_01:UEA,UEA,point,0,point,False,True
C2,heldout,H06_revoked_lease_journal_01:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,heldout,H06_revoked_lease_journal_01:RIR,RIR,unknown,,unknown,,True
C2,heldout,H06_revoked_lease_journal_02:UEA,UEA,point,1,point,True,True
C2,heldout,H06_revoked_lease_journal_02:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,heldout,H06_revoked_lease_journal_02:RIR,RIR,unknown,,unknown,,True
C2,heldout,H06_revoked_lease_journal_03:UEA,UEA,point,1,point,True,True
C2,heldout,H06_revoked_lease_journal_03:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,heldout,H06_revoked_lease_journal_03:RIR,RIR,unknown,,unknown,,True
C2,heldout,H06_revoked_lease_journal_04:UEA,UEA,point,0,point,False,True
C2,heldout,H06_revoked_lease_journal_04:TaskSuccess,TaskSuccess,point,1,point,True,True
C2,heldout,H06_revoked_lease_journal_04:RIR,RIR,unknown,,unknown,,True
