phase,run_id,request_id,decision_id,denominator_identified,c1,c2,c3,c4,c5,c6,c7,strict,legacy,reason,reason_status,source,raw_db_found
g,run-ab93c7744d254a9e7af9cf13,event-f1939758d86d9ec3,decision-383444a268f20a49,True,True,True,True,,True,True,True,,True,,irrecoverable_historical_observation,datasets/t17-v2/stages/g/core-trials.jsonl#L275,True
g,run-e5d19331f22d959b604265b7,event-1339e95d54dbab97,decision-efb45a3c264f7e94,True,True,True,True,,True,True,True,,True,,irrecoverable_historical_observation,datasets/t17-v2/stages/g/core-trials.jsonl#L276,True
g,run-82f65cf35cda4f7b2350027a,event-1c191f8f2985eab6,decision-d56b691f73d098fe,True,True,True,True,,True,True,True,,True,,irrecoverable_historical_observation,datasets/t17-v2/stages/g/core-trials.jsonl#L278,True
g,run-5ede83fed80bbd2984a70a7b,event-7c3bca2bf23ff468,decision-ca907e1f7e555ece,True,True,True,True,,False,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/g/core-trials.jsonl#L280,True
g,run-89abf7e96af53abffd1a39e2,event-1b45e4e7f7f1423b,decision-828989c4661049ed,True,True,True,True,,False,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/g/core-trials.jsonl#L281,True
g,run-79eb0f7e3ee3a88e0db4dd11,event-f338f8319344a730,decision-eb7764729a632efe,True,True,True,True,,False,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/g/core-trials.jsonl#L284,True
g,run-c6c78900a0e2ec746025286c,event-0f55718ad3267fac,decision-170a8d8d5212992b,True,True,True,True,,True,True,True,,True,,irrecoverable_historical_observation,datasets/t17-v2/stages/g/core-trials.jsonl#L285,True
g,run-89b792761bec331c281c774f,event-1f03a9aad5c4fedc,decision-0cac526c42ef1edd,True,False,True,True,,True,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/g/core-trials.jsonl#L288,True
g,run-b648922066bef6fccbff5caa,event-8a9d2547b5c2049a,decision-7cb23a127707516c,True,False,True,True,,False,True,False,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/g/core-trials.jsonl#L289,True
g,run-ee76a1d90dd8840d7a5a772e,event-f2e9b5f1f8e25f1e,decision-024d7e1178925d1c,True,False,True,True,,True,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/g/core-trials.jsonl#L292,True
g,run-291fda0413144721ac296fdf,event-2f1507b6972ba28a,decision-4ecced7691d7baa1,True,False,True,True,,True,True,False,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/g/core-trials.jsonl#L294,True
g,run-b7d803b5a1e6c8839c330eb9,event-0e381aa9beb47084,decision-2db586647d11910f,True,False,True,True,,True,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/g/core-trials.jsonl#L300,True
h,run-11b1770ac8cb179cc10bf1a3,event-ab7525b10e63fc60,decision-9bf869788a314908,True,True,True,True,,False,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/h/core-trials.jsonl#L211,True
h,run-b8010d7a3534776fbee86de7,event-2750858eedbf5603,decision-1e50bf03a6402005,True,True,True,True,,False,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/h/core-trials.jsonl#L213,True
h,run-6179cdd604592c9267c3bff3,event-1b58a01d3e612ed6,decision-703fa039fa58ae85,True,True,True,True,,False,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/h/core-trials.jsonl#L214,True
h,run-52c144746708afb63839fa04,event-f1939758d86d9ec3,decision-383444a268f20a49,True,True,True,True,,False,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/h/core-trials.jsonl#L215,True
h,run-c1d4f15e05e66da3c018709d,event-1339e95d54dbab97,decision-efb45a3c264f7e94,True,True,True,True,,False,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/h/core-trials.jsonl#L216,True
h,run-97dc3d5b96e8e42be05d560f,event-3053dbaf25dada1d,decision-e291feb6a552c238,True,True,True,True,,False,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/h/core-trials.jsonl#L217,True
h,run-5540869266e6b29a96b9fc30,event-1c191f8f2985eab6,decision-d56b691f73d098fe,True,True,True,True,,False,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/h/core-trials.jsonl#L218,True
h,run-1cb6c090c13bb38efe66d070,event-7c3bca2bf23ff468,decision-ca907e1f7e555ece,True,True,True,True,,False,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/h/core-trials.jsonl#L220,True
h,run-e5d2d9ce98d9cc6fac74cf3c,event-1b45e4e7f7f1423b,decision-828989c4661049ed,True,True,True,True,,False,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/h/core-trials.jsonl#L221,True
h,run-241f0c20faf2bf315a885373,event-119572389207c581,decision-fcb83a230a4ce474,True,True,True,True,,False,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/h/core-trials.jsonl#L222,True
h,run-a343e576fe36f3a7593671ab,event-5c3609ef90ceb83d,decision-3aaeb5af53879236,True,True,True,True,,False,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/h/core-trials.jsonl#L223,True
h,run-9d6c9468ba378625586267d9,event-f338f8319344a730,decision-eb7764729a632efe,True,True,True,True,,False,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/h/core-trials.jsonl#L224,True
h,run-8cfce695ca06fc5b5363613f,event-5ffba4217fe58c6a,decision-36de4c3bfaa7ecca,True,False,True,True,,False,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/h/core-trials.jsonl#L226,True
h,run-40ccc64d003a288132540a5e,event-5fcba5dd5a19814a,decision-62786f70033251cb,True,False,True,True,,False,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/h/core-trials.jsonl#L227,True
h,run-a27d880c7eac4eacc31070de,event-8a9d2547b5c2049a,decision-7cb23a127707516c,True,False,True,True,,False,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/h/core-trials.jsonl#L229,True
h,run-5cb6c6b4db1550393238c7d8,event-cfee14c4fb1ace17,decision-62dfa82539e98866,True,False,True,True,,False,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/h/core-trials.jsonl#L230,True
h,run-8aa4e03a0bd839b650b528cf,event-f2e9b5f1f8e25f1e,decision-024d7e1178925d1c,True,False,True,True,,False,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/h/core-trials.jsonl#L232,True
h,run-ac1619165c19e8ef2302f13b,event-6c8f35d15577c340,decision-45052cdbb97d10d2,True,False,True,True,,False,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/h/core-trials.jsonl#L233,True
h,run-0d07e7eaa6fddfda973cec21,event-a6dee8058c97fef4,decision-10bff6e0991083bc,True,False,True,True,,False,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/h/core-trials.jsonl#L236,True
h,run-0dc8dfea8059c0865fb16f9f,event-44e52eb27ed78634,decision-6f3177e16c49debf,True,False,True,True,,False,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/h/core-trials.jsonl#L237,True
h,run-e7c101fda70ee0cf92a8b7de,event-1565f66795aa8417,decision-75ac79804d2a207f,True,False,True,True,,False,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/h/core-trials.jsonl#L239,True
h,run-7e8ec89933a66a494be08223,event-0e381aa9beb47084,decision-2db586647d11910f,True,False,True,True,,False,True,True,False,False,,irrecoverable_historical_observation,datasets/t17-v2/stages/h/core-trials.jsonl#L240,True
