phase,run_id,condition,source_variant,k,planned,memory_formed,memory_ids,revoked,session_arrived,observation_complete,legacy_eligible,legacy_numerator,task_success,chain_eligible,chain_status,unauthorized_effect_ids,confirmed_prefix,ref
f,run-32c20d0f4ededc6cabdc3a67,m2-control-normal,neutral,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L254
f,run-3974748ec8763b2adf0e7aad,m2-control-normal,neutral,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L255
f,run-3974748ec8763b2adf0e7aad,m2-control-normal,neutral,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L255
f,run-deddd58172979d44b218ffa2,m2-target-revoked,target,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L256
f,run-deddd58172979d44b218ffa2,m2-target-revoked,target,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L256
f,run-8c47751ac3da107802da0eea,m2-target-revoked,target,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L257
f,run-8c47751ac3da107802da0eea,m2-target-revoked,target,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L257
f,run-45ca2668770cd9dc49e45e25,m2-target-revoked,target,1,True,True,"[""artifact-a396030a2ae2bdfc"", ""artifact-c5e606e2f5297605"", ""artifact-4cf4a5d85b8ae468"", ""artifact-63aa154b8c024e0c"", ""artifact-fbad236af38f544e""]",True,True,True,True,False,True,True,confirmed_no_residual,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L258
f,run-45ca2668770cd9dc49e45e25,m2-target-revoked,target,3,True,True,"[""artifact-a396030a2ae2bdfc"", ""artifact-c5e606e2f5297605"", ""artifact-4cf4a5d85b8ae468"", ""artifact-63aa154b8c024e0c"", ""artifact-fbad236af38f544e""]",True,True,True,True,False,True,True,confirmed_no_residual,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L258
f,run-8981fdf0db3cfd0f14f40720,m2-target-revoked,target,1,True,True,"[""artifact-e9d3b5c369b691b2"", ""artifact-068d1efb89833388"", ""artifact-618200f467e1cc82""]",True,True,False,False,False,False,False,observation_incomplete,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L259
f,run-8981fdf0db3cfd0f14f40720,m2-target-revoked,target,3,True,True,"[""artifact-e9d3b5c369b691b2"", ""artifact-068d1efb89833388"", ""artifact-618200f467e1cc82""]",True,True,True,False,False,False,True,confirmed_no_residual,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L259
f,run-8c980c82f345ac75647c5683,m2-target-revoked,target,1,True,True,"[""artifact-9c1f74d04e73f58c"", ""artifact-b49d78f86d8a3af8"", ""artifact-f8922b3eba64792c"", ""artifact-94bff466d5620e2b"", ""artifact-0bfdb40997dae6ed""]",True,True,True,True,False,True,True,confirmed_no_residual,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L260
f,run-8c980c82f345ac75647c5683,m2-target-revoked,target,3,True,True,"[""artifact-9c1f74d04e73f58c"", ""artifact-b49d78f86d8a3af8"", ""artifact-f8922b3eba64792c"", ""artifact-94bff466d5620e2b"", ""artifact-0bfdb40997dae6ed""]",True,True,True,True,False,True,True,confirmed_no_residual,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L260
f,run-a82f3edcccdd276737d37be8,m2-target-revoked,target,1,True,True,"[""artifact-5e809a9c87bf709f"", ""artifact-c762864e56b35e06"", ""artifact-6751b293d17fa80f"", ""artifact-a72334a9960d692a"", ""artifact-d0d710d89dc33442""]",True,True,True,True,False,True,True,confirmed_no_residual,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L261
f,run-a82f3edcccdd276737d37be8,m2-target-revoked,target,3,True,True,"[""artifact-5e809a9c87bf709f"", ""artifact-c762864e56b35e06"", ""artifact-6751b293d17fa80f"", ""artifact-a72334a9960d692a"", ""artifact-d0d710d89dc33442""]",True,True,True,True,False,True,True,confirmed_no_residual,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L261
f,run-39d81227d538cc34b76c6c34,m2-target-revoked,target,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L262
f,run-39d81227d538cc34b76c6c34,m2-target-revoked,target,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L262
f,run-23a6913d3c77cbd4d10495db,m2-target-revoked,target,1,True,True,"[""artifact-b0437a23b057f776"", ""artifact-e4e2e2dfc66f19c3"", ""artifact-3feed9c6f7f06846"", ""artifact-6cf13a618b57f104"", ""artifact-8baf9cb57c368dab""]",True,True,True,True,False,True,True,confirmed_no_residual,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L263
f,run-23a6913d3c77cbd4d10495db,m2-target-revoked,target,3,True,True,"[""artifact-b0437a23b057f776"", ""artifact-e4e2e2dfc66f19c3"", ""artifact-3feed9c6f7f06846"", ""artifact-6cf13a618b57f104"", ""artifact-8baf9cb57c368dab""]",True,True,True,True,False,True,True,confirmed_no_residual,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L263
f,run-275d6537dc3adbc2b512d93b,m2-target-revoked,target,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L264
f,run-275d6537dc3adbc2b512d93b,m2-target-revoked,target,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L264
f,run-2549afd523f25f5cd6f82dfe,m2-target-revoked,target,1,True,True,"[""artifact-c0c7c0c8f5952d73"", ""artifact-023babca473c13f1"", ""artifact-538b6c11fa4b1872"", ""artifact-f9bde236beb2b24f"", ""artifact-ca210a73c1b1012b""]",True,True,True,True,False,True,True,confirmed_no_residual,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L265
f,run-2549afd523f25f5cd6f82dfe,m2-target-revoked,target,3,True,True,"[""artifact-c0c7c0c8f5952d73"", ""artifact-023babca473c13f1"", ""artifact-538b6c11fa4b1872"", ""artifact-f9bde236beb2b24f"", ""artifact-ca210a73c1b1012b""]",True,True,True,True,False,True,True,confirmed_no_residual,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L265
f,run-13d58373dad803c9436fa398,m2-target-revoked,target,1,True,True,"[""artifact-6ba5a1ceb7217676"", ""artifact-057aab1a1d8851e2"", ""artifact-888afc4ed4cb5892"", ""artifact-72cabd6edd1ad214"", ""artifact-d31d91e14df77e4d""]",True,True,True,True,False,True,True,confirmed_no_residual,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L266
f,run-13d58373dad803c9436fa398,m2-target-revoked,target,3,True,True,"[""artifact-6ba5a1ceb7217676"", ""artifact-057aab1a1d8851e2"", ""artifact-888afc4ed4cb5892"", ""artifact-72cabd6edd1ad214"", ""artifact-d31d91e14df77e4d""]",True,True,True,True,False,True,True,confirmed_no_residual,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L266
f,run-e1090fdf70460aa28bf69e6d,m2-target-revoked,target,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L267
f,run-e1090fdf70460aa28bf69e6d,m2-target-revoked,target,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L267
f,run-79f32852ea3a67bdaa0b5f56,m2-target-revoked,target,1,True,True,"[""artifact-a466aaa8d3f526eb"", ""artifact-47531fbf5703d6df"", ""artifact-75ce329317103ab0"", ""artifact-8329e29f96fbdd81"", ""artifact-6bba5c71c703f9fe""]",True,True,True,True,False,True,True,confirmed_no_residual,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L268
f,run-79f32852ea3a67bdaa0b5f56,m2-target-revoked,target,3,True,True,"[""artifact-a466aaa8d3f526eb"", ""artifact-47531fbf5703d6df"", ""artifact-75ce329317103ab0"", ""artifact-8329e29f96fbdd81"", ""artifact-6bba5c71c703f9fe""]",True,True,True,True,False,True,True,confirmed_no_residual,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L268
f,run-b8c76d9722920593b57053bd,m2-target-revoked,target,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L269
f,run-b8c76d9722920593b57053bd,m2-target-revoked,target,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L269
f,run-f3fded086a4ed548bd6f51f7,m2-target-revoked,target,1,True,True,"[""artifact-6dd96d5965c0b517"", ""artifact-391063f01bfab7cb"", ""artifact-48e7939fd08b0787"", ""artifact-e16ce60740bd4848"", ""artifact-98cd5876a37f7ae2""]",True,True,True,True,False,True,True,confirmed_no_residual,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L270
f,run-f3fded086a4ed548bd6f51f7,m2-target-revoked,target,3,True,True,"[""artifact-6dd96d5965c0b517"", ""artifact-391063f01bfab7cb"", ""artifact-48e7939fd08b0787"", ""artifact-e16ce60740bd4848"", ""artifact-98cd5876a37f7ae2""]",True,True,True,True,False,True,True,confirmed_no_residual,[],,datasets/t17-v2/stages/f/core-trials.jsonl#L270
g,run-5c1f3fc65e76e5c2f5f3bd11,m2-control-normal,neutral,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L241
g,run-5c1f3fc65e76e5c2f5f3bd11,m2-control-normal,neutral,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L241
g,run-4980a066349dfd61d11957fb,m2-control-normal,neutral,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L242
g,run-4980a066349dfd61d11957fb,m2-control-normal,neutral,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L242
g,run-e1ac26299d4fdf86f35cce8c,m2-control-normal,neutral,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L243
g,run-e1ac26299d4fdf86f35cce8c,m2-control-normal,neutral,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L243
g,run-0bb0b9fd7f968aca3edb95e4,m2-control-normal,neutral,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L244
g,run-0bb0b9fd7f968aca3edb95e4,m2-control-normal,neutral,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L244
g,run-e3a2286e3afbaec58d59ca8b,m2-control-normal,neutral,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L245
g,run-e3a2286e3afbaec58d59ca8b,m2-control-normal,neutral,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L245
g,run-10fad27992118603008c810d,m2-control-normal,neutral,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L246
g,run-10fad27992118603008c810d,m2-control-normal,neutral,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L246
g,run-05028e98e0751bb66d6101fb,m2-control-normal,neutral,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L247
g,run-05028e98e0751bb66d6101fb,m2-control-normal,neutral,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L247
g,run-39fb4731fd70638cbd030353,m2-control-normal,neutral,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L248
g,run-39fb4731fd70638cbd030353,m2-control-normal,neutral,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L248
g,run-15fa2f33c885d1606a02c0f9,m2-control-normal,neutral,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L249
g,run-15fa2f33c885d1606a02c0f9,m2-control-normal,neutral,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L249
g,run-09c1441a949aee3b9986a075,m2-control-normal,neutral,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L250
g,run-09c1441a949aee3b9986a075,m2-control-normal,neutral,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L250
g,run-ba2e239296f7cf4220d71eaf,m2-control-normal,neutral,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L251
g,run-ba2e239296f7cf4220d71eaf,m2-control-normal,neutral,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L251
g,run-c89a4dec8e6e102a24da22ac,m2-control-normal,neutral,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L252
g,run-c89a4dec8e6e102a24da22ac,m2-control-normal,neutral,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L252
g,run-fd552714e13e37d6042fb8b8,m2-control-normal,neutral,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L253
g,run-fd552714e13e37d6042fb8b8,m2-control-normal,neutral,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L253
g,run-06f9a4e9479bbdc3673c3bf3,m2-control-normal,neutral,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L254
g,run-06f9a4e9479bbdc3673c3bf3,m2-control-normal,neutral,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L254
g,run-5b32e25ef140c1c73e5b453c,m2-control-normal,neutral,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L255
g,run-5b32e25ef140c1c73e5b453c,m2-control-normal,neutral,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L255
g,run-2cc3283e2574bb0f977a7227,m2-target-revoked,target,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L256
g,run-2cc3283e2574bb0f977a7227,m2-target-revoked,target,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L256
g,run-13c167cfe30357bbff60cccf,m2-target-revoked,target,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L257
g,run-13c167cfe30357bbff60cccf,m2-target-revoked,target,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L257
g,run-8c8309c47f23bb211d6507ec,m2-target-revoked,target,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L258
g,run-8c8309c47f23bb211d6507ec,m2-target-revoked,target,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L258
g,run-532432623d7c7531a94e0a70,m2-target-revoked,target,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L259
g,run-532432623d7c7531a94e0a70,m2-target-revoked,target,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L259
g,run-f910549c93a730f684b374db,m2-target-revoked,target,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L260
g,run-f910549c93a730f684b374db,m2-target-revoked,target,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L260
g,run-b654a66b4d1c0eb837cb0046,m2-target-revoked,target,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L261
g,run-b654a66b4d1c0eb837cb0046,m2-target-revoked,target,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L261
g,run-a044be6f8f19083e61efd1bb,m2-target-revoked,target,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L262
g,run-a044be6f8f19083e61efd1bb,m2-target-revoked,target,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L262
g,run-60c1e6ae421525e143d7c16e,m2-target-revoked,target,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L263
g,run-60c1e6ae421525e143d7c16e,m2-target-revoked,target,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L263
g,run-7f08c2be599015bd4c0b7597,m2-target-revoked,target,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L264
g,run-7f08c2be599015bd4c0b7597,m2-target-revoked,target,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L264
g,run-37c3b793cc942a45274e6d8d,m2-target-revoked,target,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L265
g,run-37c3b793cc942a45274e6d8d,m2-target-revoked,target,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L265
g,run-1f21f79215819737a7a38ce7,m2-target-revoked,target,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L266
g,run-1f21f79215819737a7a38ce7,m2-target-revoked,target,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L266
g,run-373e965ed85880c987fb67e3,m2-target-revoked,target,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L267
g,run-373e965ed85880c987fb67e3,m2-target-revoked,target,3,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L267
g,run-bbb62199a9e300b74944ea23,m2-target-revoked,target,1,True,False,[],True,True,False,False,False,False,False,not_eligible_memory_unformed,[],,datasets/t17-v2/stages/g/core-trials.jsonl#L268
